code_departement,annee,type_local,pieces_cat,prix_m2_median,transactions
13,2021,Appartement,Tous,3255.406976744186,26114
13,2021,Maison,Studio,6250.0,359
13,2021,Maison,T2,4843.862746031746,998
13,2021,Maison,T3,4150.0,2825
13,2021,Maison,T4,3990.047534165181,5064
13,2021,Maison,T5+,4000.0,4661
13,2021,Maison,Tous,4073.9688552188554,13926
13,2021,Tous,Studio,4296.2962962962965,4675
13,2021,Tous,T2,3731.1463414634145,7761
13,2021,Tous,T3,3270.7107843137255,11776
13,2021,Tous,T4,3420.792079207921,9803
13,2021,Tous,T5+,3751.9834710743803,5959
13,2021,Tous,Tous,3559.4229217110574,40040
14,2021,Appartement,Studio,3818.181818181818,1623
14,2021,Appartement,T2,3326.252236135957,2736
14,2021,Appartement,T3,2884.6153846153848,1813
14,2021,Appartement,T4,2359.0451612903225,811
14,2021,Appartement,T5+,2163.265306122449,259
14,2021,Appartement,Tous,3133.3333333333335,7245
14,2021,Maison,Studio,4333.333333333333,299
14,2021,Maison,T2,2740.740740740741,840
14,2021,Maison,T3,2333.3333333333335,2411
14,2021,Maison,T4,2200.0,3688
14,2021,Maison,T5+,2132.3529411764707,6137
14,2021,Maison,Tous,2215.909090909091,13380
14,2021,Tous,Studio,3831.1457800511507,1922
14,2021,Tous,T2,3236.0681114551085,3576
14,2021,Tous,T3,2583.3333333333335,4224
14,2021,Tous,T4,2250.0,4499
14,2021,Tous,T5+,2135.2759009009005,6396
14,2021,Tous,Tous,2500.0,20625
15,2021,Appartement,Studio,1950.4830917874397,206
15,2021,Appartement,T2,1724.239864864865,322
15,2021,Appartement,T3,1377.9761904761904,308
15,2021,Appartement,T4,1237.9310344827586,187
15,2021,Appartement,T5+,1126.2886597938145,71
15,2021,Appartement,Tous,1458.3333333333333,1097
15,2021,Maison,Studio,953.4883720930233,105
15,2021,Maison,T2,1093.0288461538462,200
15,2021,Maison,T3,1232.051282051282,404
15,2021,Maison,T4,1361.5,633
15,2021,Maison,T5+,1192.982456140351,781
15,2021,Maison,Tous,1238.0833333333333,2137
15,2021,Tous,Studio,1666.6666666666667,311
15,2021,Tous,T2,1456.857822410148,522
15,2021,Tous,T3,1297.3684210526317,712
15,2021,Tous,T4,1315.7894736842106,820
15,2021,Tous,T5+,1183.5633116883116,852
15,2021,Tous,Tous,1305.930930930931,3234
16,2021,Appartement,Studio,5529.069767441861,302
16,2021,Appartement,T2,2166.081081081081,408
16,2021,Appartement,T3,1500.0,338
16,2021,Appartement,T4,1408.0459770114942,127
16,2021,Appartement,T5+,2023.4100763989263,60
16,2021,Appartement,Tous,2048.0549199084667,1238
16,2021,Maison,Studio,1750.0,257
16,2021,Maison,T2,1345.4907161803712,648
16,2021,Maison,T3,1368.4193202694428,1706
16,2021,Maison,T4,1433.9979919678715,2566
16,2021,Maison,T5+,1373.3333333333333,2660
16,2021,Maison,Tous,1401.98,7857
16,2021,Tous,Studio,3333.3333333333335,559
16,2021,Tous,T2,1620.3346203346205,1056
16,2021,Tous,T3,1400.0,2044
16,2021,Tous,T4,1433.3333333333333,2693
16,2021,Tous,T5+,1375.5733944954127,2720
16,2021,Tous,Tous,1446.8085106382978,9095
17,2021,Appartement,Studio,5000.0,1033
17,2021,Appartement,T2,4053.771213073539,1606
17,2021,Appartement,T3,3494.1176470588234,1147
17,2021,Appartement,T4,2735.0877192982457,422
